NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2014-10-01 00:00:00;1006.4;1015;13.7;2.1;17.5;10.9;13.1;49;11;111;31;31;31;31;31;31;;;;;;;4;1;0;;;;;;16;1;0;0;0;2;18.7;2014-10-18 00:00:00;9.9;2014-10-28 00:00:00;23.4;2014-10-18 00:00:00;6.5;2014-10-05 00:00:00;10.7;2014-10-16 00:00:00;24.1;2014-10-21 00:00:00;2;0;6;18
07015;2014-10-01 00:00:00;1009.4;1015;13.6;2.1;17.5;10.7;13.2;51;12;111;31;31;31;31;31;31;;;;;;;4;;;;;;;;14;1;0;0;0;6;18.2;2014-10-18 00:00:00;9.7;2014-10-28 00:00:00;23.3;2014-10-18 00:00:00;6.8;2014-10-22 00:00:00;7.5;2014-10-11 00:00:00;24.3;2014-10-21 00:00:00;0;0;6;18
07020;2014-10-01 00:00:00;1010.9;1014.2;15.6;1.3;17.5;13.5;13.9;118;14;;26;28;31;28;31;0;;;;;;;5;3;0;;;;;;28;8;0;;;;18.8;2014-10-18 00:00:00;13.7;2014-10-05 00:00:00;21.5;2014-10-31 00:00:00;9.3;2014-10-06 00:00:00;40.2;2014-10-12 00:00:00;24.3;2014-10-21 00:00:00;;;6;18
07027;2014-10-01 00:00:00;1006.9;1014.9;13.6;2.2;18.3;9.9;13;51;10;126;31;31;31;31;31;31;;;;;;;5;1;0;;;;;;15;1;0;0;1;4;18.9;2014-10-18 00:00:00;9.9;2014-10-28 00:00:00;24.1;2014-10-03 00:00:00;4.4;2014-10-06 00:00:00;11.4;2014-10-12 00:00:00;23.6;2014-10-21 00:00:00;0;0;6;18
07037;2014-10-01 00:00:00;997.4;1015.6;13;2.3;17.2;9.8;12.8;80;13;101;31;31;31;31;31;31;;;;;;;5;3;0;;;;;;13;1;0;0;0;10;18.2;2014-10-18 00:00:00;8.8;2014-10-28 00:00:00;23.5;2014-10-18 00:00:00;4.4;2014-10-06 00:00:00;13.5;2014-10-12 00:00:00;22.7;2014-10-21 00:00:00;1;0;6;18
07072;2014-10-01 00:00:00;1005.3;1016.7;12.9;2.2;17.7;9;12.9;79;10;132;31;31;31;31;31;31;;;;;;;7;3;0;;;;;;8;1;0;0;3;12;17.5;2014-10-19 00:00:00;8.7;2014-10-28 00:00:00;24.1;2014-10-03 00:00:00;3.9;2014-10-29 00:00:00;18.4;2014-10-08 00:00:00;21.3;2014-10-21 00:00:00;0;;6;18
07110;2014-10-01 00:00:00;1002.8;1014.1;14.4;1.8;18.1;11.6;13.8;120;17;118;31;31;31;31;31;31;;;;;;;9;4;0;;;;;;22;0;0;0;1;3;18;2014-10-31 00:00:00;11.5;2014-10-13 00:00:00;22.8;2014-10-31 00:00:00;5.1;2014-10-05 00:00:00;19.4;2014-10-05 00:00:00;19.4;2014-10-08 00:00:00;3;1;6;18
07117;2014-10-01 00:00:00;1007;1013.9;14.8;1.8;18.3;12.5;13.8;95;15;;31;31;31;31;31;0;;;;;;;5;1;0;;;;;;23;3;0;0;0;2;19.1;2014-10-31 00:00:00;12;2014-10-07 00:00:00;24.1;2014-10-31 00:00:00;8.9;2014-10-07 00:00:00;33.5;2014-10-12 00:00:00;22.9;2014-10-12 00:00:00;;;6;18
07130;2014-10-01 00:00:00;1010.1;1015.3;14.1;2.1;19.1;10.4;13.4;77;8;120;31;31;31;31;31;31;2;0;;;;;5;2;0;;;;;;13;0;0;0;0;11;19.1;2014-10-18 00:00:00;10.8;2014-10-22 00:00:00;25;2014-10-03 00:00:00;4.3;2014-10-14 00:00:00;29.1;2014-10-12 00:00:00;18.6;2014-10-21 00:00:00;0;;6;18
07139;2014-10-01 00:00:00;998.7;1016;12.6;2.2;17.5;8.5;12.4;68;9;115;31;31;31;31;31;31;;;;;;;7;3;0;;;;;;10;0;0;1;2;16;16.9;2014-10-18 00:00:00;8.2;2014-10-28 00:00:00;23.8;2014-10-18 00:00:00;2.7;2014-10-06 00:00:00;11.3;2014-10-08 00:00:00;18.5;2014-10-21 00:00:00;;;6;18
07149;2014-10-01 00:00:00;1005.6;1016.4;14;2.3;18.4;10.6;13;46;10;108;31;31;31;31;31;31;;;;;;;3;1;0;;;;;;9;1;0;0;0;3;18;2014-10-18 00:00:00;9.5;2014-10-28 00:00:00;24.8;2014-10-04 00:00:00;5.1;2014-10-22 00:00:00;13.8;2014-10-08 00:00:00;20.6;2014-10-21 00:00:00;1;0;6;18
07168;2014-10-01 00:00:00;1002.9;1017;13.6;2.1;18.9;9.1;13.2;108;11;128;31;31;31;31;31;31;1;0;;;;;7;4;0;;;;;;8;1;0;0;0;11;17.3;2014-10-19 00:00:00;9.2;2014-10-22 00:00:00;25.2;2014-10-18 00:00:00;3.3;2014-10-29 00:00:00;25.3;2014-10-05 00:00:00;24.6;2014-10-21 00:00:00;1;0;6;18
07181;2014-10-01 00:00:00;977;1017.5;12.9;2.7;17.1;9.6;13.2;76;10;;31;31;31;31;31;0;;;;;;;7;3;0;;;;;;10;1;0;0;3;14;18.1;2014-10-19 00:00:00;7.1;2014-10-22 00:00:00;22.9;2014-10-19 00:00:00;1.9;2014-10-24 00:00:00;13.7;2014-10-09 00:00:00;22.8;2014-10-21 00:00:00;0;0;6;18
07190;2014-10-01 00:00:00;999.8;1017.8;13.5;2.8;19.1;9.7;13.3;77;9;106;31;31;31;31;31;31;1;0;;;;;4;2;0;;;;;;6;1;1;0;1;18;17.5;2014-10-20 00:00:00;8.1;2014-10-28 00:00:00;25.7;2014-10-19 00:00:00;2;2014-10-24 00:00:00;35.1;2014-10-16 00:00:00;32.5;2014-10-21 00:00:00;0;;6;18
07207;2014-10-01 00:00:00;1010.3;1015.4;16.3;1.4;18.3;14.3;15.3;71;10;;31;31;31;31;31;0;;;;;;;4;2;0;;;;;;22;6;0;;;;18.7;2014-10-01 00:00:00;13.7;2014-10-12 00:00:00;21.6;2014-10-03 00:00:00;8.8;2014-10-05 00:00:00;30.5;2014-10-12 00:00:00;25.3;2014-10-21 00:00:00;0;0;6;18
07222;2014-10-01 00:00:00;1012.7;1015.8;14.6;2.1;20.5;10.4;13.8;75;10;150;31;31;31;31;31;31;2;0;;;;;6;2;0;;;;;;10;0;0;0;2;14;18.8;2014-10-18 00:00:00;10.2;2014-10-22 00:00:00;26.5;2014-10-03 00:00:00;4.7;2014-10-14 00:00:00;18.4;2014-10-06 00:00:00;18.9;2014-10-12 00:00:00;1;0;6;18
07240;2014-10-01 00:00:00;1003.2;1016.5;14.3;2.3;19.4;10.5;13.3;83;9;155;31;31;31;31;31;31;;;;;;;5;3;0;;;;;;10;0;0;0;0;5;18.6;2014-10-19 00:00:00;10.7;2014-10-22 00:00:00;24.9;2014-10-18 00:00:00;5.8;2014-10-06 00:00:00;27.4;2014-10-08 00:00:00;17;2014-10-21 00:00:00;1;;6;18
07255;2014-10-01 00:00:00;997.4;1017.1;14.3;2.4;19.7;10.3;13.5;102;10;147;31;31;31;31;31;31;1;0;;;;;6;4;0;;;;;;6;0;0;0;2;7;18.2;2014-10-18 00:00:00;9.9;2014-10-27 00:00:00;26.5;2014-10-18 00:00:00;4.8;2014-10-29 00:00:00;23.8;2014-10-16 00:00:00;17.6;2014-10-08 00:00:00;2;0;6;18
07280;2014-10-01 00:00:00;990.9;1017.9;13.4;3;18.2;9.5;13.5;88;9;123;31;31;31;31;31;31;;;;;;;6;4;0;;;;;;7;0;0;0;0;16;17.9;2014-10-08 00:00:00;8;2014-10-23 00:00:00;23.9;2014-10-19 00:00:00;3.5;2014-10-24 00:00:00;23;2014-10-05 00:00:00;17.8;2014-10-21 00:00:00;1;;6;18
07299;2014-10-01 00:00:00;985.8;1018.1;13.3;2.9;19;9.3;13.1;72;13;134;31;31;31;31;31;31;;;;;;;4;1;0;;;;;;6;1;0;0;0;11;17;2014-10-20 00:00:00;7.5;2014-10-22 00:00:00;24.7;2014-10-19 00:00:00;0.5;2014-10-24 00:00:00;11.1;2014-10-21 00:00:00;26.1;2014-10-21 00:00:00;3;0;6;18
07314;2014-10-01 00:00:00;1013.8;1016.5;16.7;1.7;19.7;14.2;15.6;88;8;;31;31;31;31;31;0;1;0;;;;;6;4;0;;;;;;17;2;0;0;0;1;19.8;2014-10-18 00:00:00;13.1;2014-10-23 00:00:00;25.7;2014-10-31 00:00:00;9.7;2014-10-06 00:00:00;23;2014-10-06 00:00:00;22.5;2014-10-12 00:00:00;0;0;6;18
07335;2014-10-01 00:00:00;1002.4;1016.7;14.5;2.3;20;10.3;13.4;78;6;164;31;31;31;31;31;31;2;0;;;;;5;4;0;;;;;;10;0;0;0;0;10;19.2;2014-10-18 00:00:00;9.8;2014-10-23 00:00:00;25.3;2014-10-18 00:00:00;3.5;2014-10-23 00:00:00;18.3;2014-10-08 00:00:00;18;2014-10-12 00:00:00;0;0;6;18
