NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2014-04-01 00:00:00;1006.3;1015.3;11;2.1;15.9;6.8;10.1;39;7;180;30;30;30;30;30;30;;;;;;;3;1;0;;;;;;15;1;0;0;2;8;15.3;2014-04-02 00:00:00;7.2;2014-04-15 00:00:00;20.9;2014-04-01 00:00:00;1.2;2014-04-15 00:00:00;13.6;2014-04-29 00:00:00;21.1;2014-04-07 00:00:00;2;0;6;18
07015;2014-04-01 00:00:00;1009.5;1015.2;12;2.2;17;7.7;9.8;51;6;173;30;30;30;30;30;30;;;;;;;3;2;0;;;;;;17;1;0;0;0;2;15.8;2014-04-07 00:00:00;7.8;2014-04-15 00:00:00;21.9;2014-04-07 00:00:00;2.9;2014-04-15 00:00:00;22.2;2014-04-21 00:00:00;24.5;2014-04-07 00:00:00;3;0;6;18
07020;2014-04-01 00:00:00;1012.9;1015.6;11;1.1;13.4;8.7;10.9;55;10;;30;30;30;30;30;0;;;;;;;4;1;0;;;;;;19;1;0;0;1;2;14.6;2014-04-02 00:00:00;9.2;2014-04-15 00:00:00;17.2;2014-04-01 00:00:00;4.5;2014-04-15 00:00:00;11.3;2014-04-07 00:00:00;22.5;2014-04-26 00:00:00;;;6;18
07027;2014-04-01 00:00:00;1007.1;1015.2;10.7;1.7;15.5;6.3;10.2;66;8;170;30;30;30;30;30;30;;;;;;;2;1;0;;;;;;14;0;0;0;0;5;15.3;2014-04-06 00:00:00;8.4;2014-04-10 00:00:00;20.5;2014-04-01 00:00:00;0.9;2014-04-17 00:00:00;36;2014-04-24 00:00:00;17.9;2014-04-07 00:00:00;2;0;6;18
07037;2014-04-01 00:00:00;997;1015.3;10.9;1.9;16.3;6.6;9.8;68;11;158;30;30;30;30;30;30;;;;;;;5;3;0;;;;;;13;0;0;0;2;7;14.8;2014-04-06 00:00:00;8;2014-04-15 00:00:00;20.7;2014-04-01 00:00:00;1.5;2014-04-16 00:00:00;13.2;2014-04-27 00:00:00;19.4;2014-04-07 00:00:00;2;1;6;18
07072;2014-04-01 00:00:00;1003.9;1015.3;11.2;2.2;17.4;4.8;9.7;4;1;225;30;30;30;30;30;30;;;;;0;4;0;;;;;;;;11;0;0;0;1;3;16.5;2014-04-07 00:00:00;6.8;2014-04-09 00:00:00;22.2;2014-04-07 00:00:00;-2;2014-04-17 00:00:00;1.2;2014-04-07 00:00:00;15.8;2014-04-18 00:00:00;0;;6;18
07110;2014-04-01 00:00:00;1003.4;1014.8;10.6;1.4;14.8;7;10.3;69;10;175;30;30;30;30;30;30;;;;;;;6;2;0;;;;;;21;1;0;0;0;5;13.1;2014-04-02 00:00:00;7.5;2014-04-20 00:00:00;20.6;2014-04-16 00:00:00;2;2014-04-16 00:00:00;17.2;2014-04-26 00:00:00;23.4;2014-04-26 00:00:00;0;0;6;18
07117;2014-04-01 00:00:00;1007.8;1014.8;11.2;1.4;14.6;8.9;10.7;57;11;;30;30;30;30;30;0;;;;;;;4;1;0;;;;;;17;2;0;;;;14.7;2014-04-06 00:00:00;9.1;2014-04-20 00:00:00;19.7;2014-04-01 00:00:00;6.9;2014-04-09 00:00:00;14.1;2014-04-26 00:00:00;22.7;2014-04-26 00:00:00;;;6;18
07130;2014-04-01 00:00:00;1010;1015.2;11.3;1.5;16.7;6.6;10.3;36;8;168;30;30;30;30;30;30;;;;;;;4;;;;;;;;14;0;0;0;1;9;15.3;2014-04-02 00:00:00;8;2014-04-20 00:00:00;20.8;2014-04-17 00:00:00;1.9;2014-04-09 00:00:00;6.6;2014-04-26 00:00:00;18.2;2014-04-26 00:00:00;0;;6;18
07139;2014-04-01 00:00:00;997.9;1015.3;10.7;1.6;16.1;5.9;10;73;10;156;30;30;30;30;30;30;;;;;;;5;2;0;;;;;;8;0;0;0;0;4;14;2014-04-02 00:00:00;8.2;2014-04-19 00:00:00;21.3;2014-04-17 00:00:00;0.3;2014-04-17 00:00:00;25.7;2014-04-24 00:00:00;15.2;2014-04-27 00:00:00;0;0;6;18
